req_id,attempt,success,ts_ms
0,1,True,1746420496545
1,1,True,1746420496546
2,1,True,1746420496546
3,1,True,1746420496546
4,1,True,1746420496546
5,1,True,1746420496546
6,1,False,1746420496546
6,2,True,1746420496650
7,1,False,1746420496546
7,2,True,1746420496651
8,1,False,1746420496546
8,2,False,1746420496651
8,3,False,1746420496855
9,1,True,1746420496546
10,1,True,1746420496546
11,1,False,1746420496546
11,2,True,1746420496650
12,1,True,1746420496546
13,1,False,1746420496546
13,2,True,1746420496650
14,1,True,1746420496546
15,1,False,1746420496546
15,2,True,1746420496650
16,1,True,1746420496546
17,1,False,1746420496546
17,2,True,1746420496650
18,1,True,1746420496546
19,1,True,1746420496546
20,1,True,1746420496546
21,1,True,1746420496546
22,1,True,1746420496546
23,1,True,1746420496546
24,1,False,1746420496546
24,2,False,1746420496650
24,3,True,1746420496855
25,1,True,1746420496546
26,1,False,1746420496546
26,2,True,1746420496651
27,1,False,1746420496546
27,2,True,1746420496650
28,1,False,1746420496546
28,2,True,1746420496650
29,1,True,1746420496546
30,1,False,1746420496546
30,2,False,1746420496651
30,3,False,1746420496856
31,1,True,1746420496546
32,1,False,1746420496547
32,2,True,1746420496650
33,1,True,1746420496547
34,1,True,1746420496547
35,1,True,1746420496547
36,1,False,1746420496547
36,2,True,1746420496650
37,1,True,1746420496547
38,1,True,1746420496547
39,1,True,1746420496547
40,1,True,1746420496547
41,1,False,1746420496547
41,2,False,1746420496651
41,3,True,1746420496856
42,1,True,1746420496547
43,1,True,1746420496547
44,1,True,1746420496547
45,1,True,1746420496547
46,1,True,1746420496547
47,1,True,1746420496547
48,1,True,1746420496547
49,1,True,1746420496547
50,1,False,1746420496547
50,2,True,1746420496651
51,1,False,1746420496547
51,2,False,1746420496650
51,3,True,1746420496855
52,1,True,1746420496547
53,1,True,1746420496547
54,1,False,1746420496547
54,2,True,1746420496651
55,1,True,1746420496547
56,1,True,1746420496547
57,1,True,1746420496547
58,1,True,1746420496547
59,1,True,1746420496547
60,1,True,1746420496547
61,1,False,1746420496547
61,2,True,1746420496651
62,1,True,1746420496547
63,1,True,1746420496547
64,1,True,1746420496547
65,1,False,1746420496547
65,2,False,1746420496651
65,3,True,1746420496856
66,1,False,1746420496547
66,2,False,1746420496651
66,3,True,1746420496856
67,1,True,1746420496547
68,1,True,1746420496547
69,1,False,1746420496547
69,2,False,1746420496651
69,3,True,1746420496855
70,1,True,1746420496547
71,1,False,1746420496547
71,2,True,1746420496651
72,1,True,1746420496547
73,1,False,1746420496548
73,2,True,1746420496650
74,1,True,1746420496548
75,1,True,1746420496548
76,1,True,1746420496548
77,1,True,1746420496548
78,1,False,1746420496548
78,2,True,1746420496651
79,1,False,1746420496548
79,2,True,1746420496651
80,1,True,1746420496548
81,1,False,1746420496548
81,2,False,1746420496651
81,3,True,1746420496855
82,1,True,1746420496548
83,1,True,1746420496548
84,1,True,1746420496548
85,1,True,1746420496548
86,1,True,1746420496548
87,1,False,1746420496548
87,2,False,1746420496650
87,3,True,1746420496855
88,1,False,1746420496548
88,2,True,1746420496651
89,1,False,1746420496548
89,2,True,1746420496651
90,1,False,1746420496548
90,2,True,1746420496651
91,1,True,1746420496548
92,1,False,1746420496548
92,2,True,1746420496651
93,1,True,1746420496548
94,1,True,1746420496548
95,1,True,1746420496548
96,1,False,1746420496548
96,2,False,1746420496651
96,3,True,1746420496856
97,1,False,1746420496548
97,2,True,1746420496651
98,1,True,1746420496548
99,1,True,1746420496548
