req_id,attempt,success,ts_ms
0,1,True,1746108788583
1,1,True,1746108788583
2,1,True,1746108788583
3,1,False,1746108788583
3,2,True,1746108788583
4,1,True,1746108788583
5,1,True,1746108788583
6,1,True,1746108788583
7,1,False,1746108788583
7,2,True,1746108788583
8,1,True,1746108788583
9,1,True,1746108788583
10,1,True,1746108788584
11,1,True,1746108788584
12,1,True,1746108788584
13,1,False,1746108788584
13,2,True,1746108788584
14,1,True,1746108788584
15,1,True,1746108788584
16,1,True,1746108788584
17,1,True,1746108788584
18,1,True,1746108788584
19,1,False,1746108788584
19,2,True,1746108788584
20,1,True,1746108788584
21,1,True,1746108788584
22,1,False,1746108788584
22,2,True,1746108788584
23,1,True,1746108788584
24,1,True,1746108788584
25,1,True,1746108788584
26,1,False,1746108788584
26,2,False,1746108788584
26,3,True,1746108788584
27,1,True,1746108788584
28,1,False,1746108788584
28,2,True,1746108788584
29,1,False,1746108788584
29,2,False,1746108788584
29,3,True,1746108788584
30,1,True,1746108788584
31,1,True,1746108788584
32,1,True,1746108788584
33,1,False,1746108788584
33,2,False,1746108788584
33,3,True,1746108788584
34,1,False,1746108788584
34,2,True,1746108788584
35,1,True,1746108788584
36,1,True,1746108788584
37,1,True,1746108788584
38,1,True,1746108788584
39,1,True,1746108788584
40,1,True,1746108788584
41,1,True,1746108788584
42,1,True,1746108788584
43,1,True,1746108788584
44,1,True,1746108788584
45,1,True,1746108788584
46,1,True,1746108788584
47,1,True,1746108788584
48,1,True,1746108788584
49,1,False,1746108788584
49,2,True,1746108788584
50,1,True,1746108788584
51,1,True,1746108788584
52,1,True,1746108788584
53,1,True,1746108788584
54,1,False,1746108788584
54,2,False,1746108788584
54,3,True,1746108788584
55,1,True,1746108788584
56,1,False,1746108788584
56,2,True,1746108788584
57,1,False,1746108788584
57,2,False,1746108788584
57,3,False,1746108788584
58,1,True,1746108788584
59,1,True,1746108788584
60,1,True,1746108788584
61,1,True,1746108788584
62,1,True,1746108788584
63,1,True,1746108788584
64,1,True,1746108788584
65,1,True,1746108788584
66,1,True,1746108788584
67,1,True,1746108788584
68,1,False,1746108788584
68,2,False,1746108788584
68,3,True,1746108788584
69,1,False,1746108788584
69,2,False,1746108788584
69,3,True,1746108788584
70,1,True,1746108788584
71,1,False,1746108788584
71,2,True,1746108788584
72,1,True,1746108788584
73,1,True,1746108788584
74,1,True,1746108788584
75,1,True,1746108788584
76,1,True,1746108788584
77,1,False,1746108788584
77,2,True,1746108788584
78,1,True,1746108788585
79,1,True,1746108788585
80,1,True,1746108788585
81,1,False,1746108788585
81,2,True,1746108788585
82,1,True,1746108788585
83,1,False,1746108788585
83,2,False,1746108788585
83,3,True,1746108788585
84,1,True,1746108788585
85,1,False,1746108788585
85,2,True,1746108788585
86,1,False,1746108788585
86,2,True,1746108788585
87,1,True,1746108788585
88,1,True,1746108788585
89,1,False,1746108788585
89,2,True,1746108788585
90,1,True,1746108788585
91,1,False,1746108788585
91,2,True,1746108788585
92,1,True,1746108788585
93,1,False,1746108788585
93,2,False,1746108788585
93,3,True,1746108788585
94,1,True,1746108788585
95,1,True,1746108788585
96,1,True,1746108788585
97,1,False,1746108788585
97,2,True,1746108788585
98,1,True,1746108788585
99,1,True,1746108788585
